location,query,imp_lat,imp_lng
036XX Kimi O'Gray Ave,"3600 Kimi O'Gray Ave, New Orleans, LA",29.9926613,-90.030846
071XX W Renaissance Ct,"7100 W Renaissance Ct, New Orleans, LA",30.0532533,-89.9556191
046XX Sandalwood St,"4600 Sandalwood St, New Orleans, LA",30.0197388,-89.9701091
050XX Corinne St,"5000 Corinne St, New Orleans, LA",30.0274601,-89.9616736
006XX N Miro St,"600 N Miro St, New Orleans, LA",29.966625,-90.079468
008XX Canal St,"800 Canal St, New Orleans, LA",29.9536448,-90.0702658
006XX Saint Louis St,"600 Saint Louis St, New Orleans, LA",29.955826,-90.065426
Idaho St & Amazon St,"Idaho St & Amazon St, New Orleans, LA",,
013XX France St,"1300 France St, New Orleans, LA",29.9672824,-90.0330608
017XX 4th St,"1700 4th St, New Orleans, LA",,
020XX Socrates St,"2000 Socrates St, New Orleans, LA",29.940822,-90.036969
024XX Magazine St,"2400 Magazine St, New Orleans, LA",29.927903,-90.079274
063XX Chef Menteur Hwy,"6300 Chef Menteur Hwy, New Orleans, LA",30.010443,-90.014735
132XX Saint Helena Pl,"13200 Saint Helena Pl, New Orleans, LA",30.0445537,-89.9246819
036XX Rue Renee,"3600 Rue Renee, New Orleans, LA",29.915172,-89.993495
040XX Louisa St,"4000 Louisa St, New Orleans, LA",30.001212,-90.035481
051XX Gen De Gaulle Dr,"5100 Gen De Gaulle Dr, New Orleans, LA",29.9155242,-90.0068077
043XX Downman Rd,"4300 Downman Rd, New Orleans, LA",30.013369,-90.0213092
012XX N Rampart St,"1200 N Rampart St, New Orleans, LA",29.9644492,-90.0646049
047XX Old Gentilly Rd,"4700 Old Gentilly Rd, New Orleans, LA",30.0040909,-90.0334648
007XX Dauphine St,"700 Dauphine St, New Orleans, LA",29.9592327,-90.0664466
086XX Lake Forest Blvd,"8600 Lake Forest Blvd, New Orleans, LA",30.0270403,-89.9889628
010XX Poland Ave,"1000 Poland Ave, New Orleans, LA",29.9637958,-90.0319843
070XX Read Blvd,"7000 Read Blvd, New Orleans, LA",30.038252,-89.977239
011XX N Rampart St,"1100 N Rampart St, New Orleans, LA",29.963773,-90.065297
059XX Timoleon St,"5900 Timoleon St, New Orleans, LA",30.011701,-90.020911
006XX St Charles Ave,"600 St Charles Ave, New Orleans, LA",29.9477369,-90.0710435
008XX N Rampart St,"800 N Rampart St, New Orleans, LA",29.9613379,-90.0674069
004XX Elysian Fields Ave,"400 Elysian Fields Ave, New Orleans, LA",29.961499,-90.056817
020XX Napoleon Ave,"2000 Napoleon Ave, New Orleans, LA",29.930565,-90.102682
082XX Cohn St,"8200 Cohn St, New Orleans, LA",29.9531171,-90.1256837
004XX Royal St,"400 Royal St, New Orleans, LA",29.9557088,-90.0660442
040XX Chef Menteur Hwy,"4000 Chef Menteur Hwy, New Orleans, LA",30.002621,-90.0433256
